sku,name,category,subcategory,brand,price,stock,unit,short_description,long_description,image_url,status
SKU001,Martillo de Carpintero 16oz,Herramientas Manuales,Martillos,Stanley,45000,50,unidad,Martillo de carpintero con mango de madera,Martillo profesional de 16 onzas con cabeza de acero forjado y mango de madera resistente. Ideal para carpintería y trabajos generales.,https://example.com/images/martillo-001.jpg,active
SKU002,Destornillador Philips #2,Herramientas Manuales,Destornilladores,Truper,12000,100,unidad,Destornillador de cruz mediano,Destornillador Phillips #2 con mango ergonómico y punta magnética. Longitud total 200mm.,https://example.com/images/destornillador-002.jpg,active
SKU003,Taladro Eléctrico 600W,Herramientas Eléctricas,Taladros,Bosch,320000,20,unidad,Taladro eléctrico profesional,Taladro eléctrico de 600W con velocidad variable y percutor. Incluye maletín y juego de brocas.,https://example.com/images/taladro-003.jpg,active
SKU004,Cinta Métrica 5m,Herramientas de Medición,Cintas Métricas,Stanley,18000,75,unidad,Cinta métrica profesional 5 metros,Cinta métrica metálica de 5 metros con freno automático y carcasa resistente a impactos.,https://example.com/images/cinta-004.jpg,active
SKU005,Pintura Látex Blanco 4L,Pinturas,Látex,Pintuco,85000,30,galón,Pintura látex interior blanco,Pintura látex de alta calidad para interiores. Rendimiento 10-12 m²/L. Acabado mate.,https://example.com/images/pintura-005.jpg,active
SKU006,Brocha 3 pulgadas,Pinturas,Brochas,Corona,15000,60,unidad,Brocha profesional 3 pulgadas,Brocha de cerdas sintéticas para pintura látex. Mango de madera barnizado.,https://example.com/images/brocha-006.jpg,active
SKU007,Llave Inglesa 12 pulgadas,Herramientas Manuales,Llaves,Stanley,42000,40,unidad,Llave ajustable profesional,Llave inglesa ajustable de 12 pulgadas con acabado cromado y abertura máxima de 32mm.,https://example.com/images/llave-007.jpg,active
SKU008,Nivel de Burbuja 24 pulgadas,Herramientas de Medición,Niveles,Stanley,38000,35,unidad,Nivel de aluminio profesional,Nivel de burbuja de aluminio con 3 burbujas y precisión de 0.5mm/m.,https://example.com/images/nivel-008.jpg,active
SKU009,Sierra Circular 7.25 pulgadas,Herramientas Eléctricas,Sierras,Makita,450000,15,unidad,Sierra circular profesional,Sierra circular de 1800W con guía láser y profundidad de corte ajustable hasta 65mm.,https://example.com/images/sierra-009.jpg,active
SKU010,Escalera Tijera 6 Pasos,Escaleras,Escaleras Tijera,Colmena,280000,12,unidad,Escalera de aluminio 6 pasos,Escalera tipo tijera de aluminio con plataforma antideslizante. Capacidad 150kg.,https://example.com/images/escalera-010.jpg,active
